Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,cluster
4.07,1258005,85585,large,old,4.09,large,0
3.99,4447186,273761,medium,new,3.99,large,0
3.76,41079,5356,very small,new,3.76,large,0
4.12,210117,18190,very small,new,4.12,large,0
4.1,8007938,201434,large,old,4.19,large,0
3.06,2795,492,small,new,2.93,medium,0
3.92,374960,5391,average,old,3.91,large,0
3.96,186338,7255,very small,new,3.97,large,0
4.09,2906066,278341,average,new,4.33,large,0
4.06,132342,14887,large,old,4.07,large,0
4.26,14551657,471013,small,new,3.83,large,0
3.83,2446525,97595,large,old,3.98,large,0
4.37,6423128,220105,large,new,4.41,large,0
3.91,744671,39434,small,new,3.86,large,0
4.08,273501,24535,small,new,4.05,large,0
3.77,8484,772,large,new,2.88,small,0
3.56,82410,10825,very small,new,3.56,large,0
3.74,378361,20932,average,old,3.72,large,0
4.0,1200568,43083,large,old,4.01,large,0
3.97,394763,67494,small,new,4.05,large,0
3.81,654534,67510,medium,new,3.77,large,0
4.16,7067589,179295,large,old,4.25,large,0
4.32,824549,70577,small,new,4.31,large,0
3.88,394370,33043,medium,new,3.89,large,0
3.57,37973,4159,small,new,2.9,small,0
3.78,117164,9890,medium,new,3.74,large,0
4.05,1909407,216963,small,new,4.24,large,0
4.1,796599,104007,small,new,3.97,large,0
2.86,546,140,very small,new,2.86,small,0
3.85,103339,18161,small,new,3.82,large,0
4.28,180570,12494,small,new,4.37,large,0
4.11,386954,15760,large,new,2.41,small,0
3.84,1638041,74331,average,new,4.19,large,0
4.01,315623,20932,large,old,4.14,large,0
4.09,2906066,278341,average,new,4.37,large,0
4.01,502119,20648,small,new,4.04,large,0
4.02,5724161,337897,large,new,2.88,medium,0
3.16,4499,1088,very small,new,2.7,small,0
2.9,1506,367,very small,new,2.78,medium,0
4.14,3884933,114661,large,old,4.22,large,0
3.91,382119,40707,very small,new,3.89,large,0
4.03,2627214,106464,medium,new,3.96,large,0
3.81,143146,9525,small,new,2.85,medium,0
4.04,3486340,218499,large,old,4.13,large,0
3.27,8713,1592,very small,new,3.27,medium,0
3.86,7295720,154513,large,old,3.74,large,0
4.5,1749895,210923,small,new,4.28,large,0
3.35,417,77,very small,new,2.23,small,0
3.83,83307,4830,average,new,2.92,medium,0
3.62,36471,5107,large,new,2.96,small,0
3.76,84922,1277,very small,new,3.76,large,0
4.08,91995,11681,small,new,4.08,large,0
4.07,1745263,82645,small,new,4.25,large,0
4.14,7226566,450340,large,new,4.1,large,0
4.24,9637673,874520,medium,new,4.05,large,0
4.19,1947728,101872,large,old,4.17,large,0
3.94,223509,26214,small,new,4.05,large,0
4.34,3015019,42829,average,old,4.32,large,0
4.09,505672,58592,small,new,3.79,large,0
4.01,441779,23386,small,old,4.03,large,0
4.02,152084,20367,very small,new,4.02,large,0
4.03,250064,34556,small,new,3.96,large,0
3.91,3609527,121943,large,old,4.07,large,0
4.27,499209,49084,average,new,4.4,large,0
4.32,145036,12607,small,new,4.32,large,0
3.08,15629,2648,very small,new,2.82,medium,0
3.01,3154,215,small,new,2.92,medium,0
4.13,820018,23429,large,new,1.98,small,0
4.0,1200560,43083,large,new,2.8,medium,0
3.61,87855,7609,medium,new,2.83,medium,0
4.06,17484985,775861,large,old,3.93,large,0
2.89,340,137,very small,new,2.81,small,0
3.92,139559,20546,medium,new,4.26,large,0
4.35,10073631,175261,large,old,4.52,large,0
4.24,9639646,874623,medium,new,4.22,large,0
4.02,466352,21219,average,new,2.97,medium,0
3.13,19426,3024,very small,new,2.84,medium,0
3.86,217680,16578,very small,new,3.86,large,0
4.15,202771,14524,small,new,4.14,large,0
3.79,719526,44486,average,new,2.63,medium,0
3.37,234967,12462,small,new,2.84,large,0
2.68,614,80,very small,new,2.66,small,0
3.78,102390,8285,large,new,2.84,small,0
3.37,720,121,small,new,2.76,small,0
4.12,129617,16631,very small,new,4.12,large,0
3.24,1747,233,small,new,2.89,small,0
4.0,751071,22405,average,old,4.0,large,0
4.09,710917,41028,average,new,4.25,large,0
3.78,1665226,166483,small,new,3.8,large,0
3.06,1795,338,very small,new,2.81,medium,0
2.76,3648,642,medium,new,2.49,medium,0
3.82,1238344,50189,large,old,3.83,large,0
3.78,1665108,166468,small,new,3.82,large,0
4.31,196738,21857,very small,new,4.31,large,0
4.05,1909407,216963,small,new,4.05,large,0
3.34,1103,202,very small,new,2.84,small,0
3.97,641237,29105,large,old,4.13,large,0
3.56,49840,7703,very small,new,3.56,large,0
4.5,1749895,210923,small,new,4.21,large,0
3.56,13499,1269,small,new,2.92,medium,0
4.25,126869,3365,medium,old,4.25,large,0
4.25,327695,49882,small,new,4.17,large,0
3.91,219055,7821,very small,new,3.92,large,0
4.35,259327,8571,small,old,4.35,large,0
3.67,7105,857,medium,new,2.77,small,0
4.62,261984,31967,small,new,4.63,large,0
4.07,2787266,100773,large,old,4.07,large,0
3.83,2446480,97593,large,old,3.8,large,0
4.14,3884953,114661,large,old,4.17,large,0
2.79,1323,233,very small,new,2.79,medium,0
3.95,3271355,221863,small,new,3.54,large,0
2.62,151,53,very small,new,2.62,small,0
4.06,125434,12561,very small,new,4.16,large,0
3.92,799433,80016,small,new,3.99,large,0
3.84,982387,65351,small,new,3.86,large,0
4.36,8085813,673367,medium,new,4.57,large,0
4.05,1909874,216997,small,new,4.57,small,0
3.82,2371981,54762,small,new,2.7,large,0
4.23,8430713,485060,average,new,4.43,large,0
3.37,28623,3791,medium,new,2.61,medium,0
4.36,8085813,673367,medium,new,4.52,large,0
4.11,556264,45971,small,new,4.19,large,0
4.09,375352,45670,small,new,4.23,large,0
4.01,1668423,188003,medium,new,3.85,large,0
3.86,338438,36056,very small,new,3.89,large,0
4.06,4699849,273616,small,new,4.01,large,0
3.91,3609527,121943,large,old,3.88,large,0
4.21,574767,59983,medium,old,4.29,large,0
3.8,1052345,31289,small,new,3.82,large,0
4.25,1051380,85287,very small,new,4.25,large,0
4.24,1681066,52900,large,new,4.26,large,0
3.8,307058,20816,large,new,2.96,medium,0
3.84,695944,68308,small,new,3.93,large,0
4.06,209806,9566,small,new,3.93,large,0
2.5,788,494,very small,new,2.52,small,0
4.22,1004938,127742,medium,new,4.17,large,0
4.17,3659366,407619,medium,new,4.03,large,0
4.28,218885,21963,medium,new,4.32,large,0
4.15,1539993,51513,large,new,2.59,small,0
2.89,22319,1081,medium,new,2.68,medium,0
3.29,361,59,very small,new,2.7,small,0
3.96,419784,3783,medium,old,3.95,large,0
4.21,220079,25966,very small,new,4.21,large,0
3.21,682,172,very small,new,2.92,small,0
4.12,651404,88758,very small,new,4.22,large,0
4.19,971608,97558,small,new,4.34,large,0
4.05,1522832,42980,large,old,4.0,large,0
4.23,274504,15332,small,new,4.26,large,0
4.06,303088,35484,average,new,3.94,large,0
4.07,62717,7255,very small,new,4.08,large,0
4.01,203837,33510,small,new,4.06,large,0
4.16,1045043,70117,small,new,4.5,large,0
2.19,227,53,small,old,2.05,small,0
4.33,538270,69720,very small,new,4.36,large,0
3.94,1634749,124982,small,new,3.65,medium,0
3.8,627614,37213,small,new,3.8,large,0
4.21,500317,90698,small,new,4.25,large,0
4.24,9638832,874566,medium,new,4.19,large,0
1.53,290,202,very small,new,1.53,small,0
4.15,1523399,155114,small,new,4.16,large,0
4.0,469365,15492,large,old,4.12,large,0
3.94,23976,1974,average,new,2.94,small,0
3.22,3639,606,small,new,2.93,small,0
3.55,3686,615,medium,new,2.8,small,0
3.99,2257595,229463,medium,new,4.34,large,0
4.21,2589838,270012,medium,new,4.09,large,0
3.75,475816,27859,large,old,2.8,small,0
4.17,778368,66217,small,new,2.92,small,0
3.99,199835,10305,average,new,4.04,large,0
4.09,2905818,278307,average,new,4.08,large,0
4.0,364798,36500,large,new,2.97,small,0
4.24,9639290,874594,medium,new,4.18,large,0
4.12,152018,6155,large,old,4.11,large,0
4.36,8085813,673367,medium,new,3.8,large,0
4.49,212971,28557,very small,new,4.54,large,0
4.38,1105961,86366,small,new,4.39,large,0
3.99,1610315,59300,average,old,3.99,large,0
2.94,986,202,very small,new,2.94,small,0
3.75,215059,14033,medium,new,2.96,small,0
4.17,3659486,407633,medium,new,4.61,large,0
4.26,298562,31726,small,new,4.4,large,0
2.99,1918,232,very small,new,2.99,medium,0
3.96,234324,13090,medium,new,2.54,medium,0
4.12,445393,46820,small,new,3.93,large,0
4.33,4717719,195536,small,new,4.41,large,0
4.09,139679,21246,very small,new,4.04,large,0
3.22,3877,299,average,new,2.93,small,0
3.99,2306984,88029,medium,new,3.99,large,0
3.95,1065771,104439,small,new,3.98,large,0
3.91,201754,12363,average,new,3.95,large,0
4.06,624222,60562,small,new,3.75,large,0
3.63,112128,17676,very small,new,3.57,large,0
4.08,1002448,22444,small,new,4.23,large,0
3.88,19120,678,medium,new,2.73,medium,0
4.29,2852758,147520,average,new,4.25,large,0
4.14,3884910,114660,large,old,4.15,large,0
4.29,148159,6754,large,old,4.29,large,0
4.1,868387,104378,small,new,4.29,large,0
3.85,1327359,50114,large,old,3.83,large,0
2.36,268,77,very small,new,1.9,small,0
4.21,180687,21468,small,new,4.19,large,0
3.93,160325,15475,small,new,3.91,large,0
4.24,59076,12069,very small,new,4.24,large,0
1.74,1485,367,very small,new,1.94,small,0
4.1,143904,5077,small,old,4.21,large,0
2.9,1130,131,very small,new,2.93,small,0
3.93,572836,69395,very small,new,4.0,large,0
3.74,77709,3538,large,new,2.88,medium,0
4.19,971666,97560,small,new,4.25,large,0
4.27,3847785,430295,small,new,4.24,large,0
3.87,7967792,200538,average,new,3.68,large,0
4.24,9637673,874520,medium,new,4.18,large,0
4.15,35938,4395,small,new,2.91,medium,0
3.94,251746,16463,average,new,3.95,large,0
4.07,705685,19084,small,new,4.13,large,0
4.14,7410613,236945,large,old,4.15,large,0
4.06,17484688,775845,large,old,4.25,large,0
3.79,78401,6899,large,new,2.8,small,0
3.54,22593,3491,small,new,2.87,small,0
3.49,83995,16697,very small,new,3.48,large,0
3.95,3150985,247612,large,new,3.93,large,0
4.43,203622,26245,small,new,4.38,large,0
3.68,163102,9403,very small,new,2.46,medium,0
3.97,321496,41277,very small,new,4.03,large,0
4.17,1701537,237368,medium,new,4.33,large,0
4.33,755478,94899,very small,new,4.36,large,0
4.49,593237,50507,very small,new,4.49,large,0
2.83,1223,68,very small,new,2.8,medium,0
4.2,348209,11709,small,new,4.2,large,0
4.2,475804,45391,average,new,4.08,large,0
4.02,1464814,87602,medium,new,4.08,large,0
4.47,84689,10472,small,new,4.47,large,0
4.18,305520,7992,small,new,4.18,large,0
4.14,7226538,450339,large,new,4.17,large,0
3.96,726617,48549,medium,new,3.97,large,0
3.96,202411,16666,small,new,3.93,large,0
4.25,340128,28519,very small,new,4.29,large,0
4.25,3632877,64723,large,old,4.37,large,0
2.6,763,143,very small,new,2.57,small,0
4.19,1947683,101864,large,old,4.2,large,0
4.33,136684,16852,small,new,4.32,large,0
3.85,1336703,117743,small,new,3.77,large,0
3.1,2405,558,small,new,2.89,medium,0
4.15,1056458,34644,large,old,4.19,large,0
3.33,4306,875,very small,new,2.96,medium,0
4.06,17484898,775851,large,old,4.34,large,0
4.09,2005196,210822,small,new,3.9,large,0
4.33,1015525,93204,average,new,4.42,large,0
3.95,3271355,221863,small,new,3.8,large,0
4.14,7410768,236954,large,old,3.86,large,0
3.87,711740,95191,very small,new,3.91,large,0
3.91,108085,8153,very small,new,3.92,large,0
4.14,7226470,450330,large,new,4.11,large,0
4.07,1157488,47775,large,old,4.13,large,0
3.83,150582,12516,average,new,2.47,small,0
1.86,273,95,very small,new,1.86,small,0
4.24,9638832,874566,medium,new,4.13,large,0
3.89,1520646,60290,large,old,3.84,large,0
3.91,382119,40707,very small,new,3.89,large,0
3.89,155370,14092,large,new,2.98,small,0
3.86,343246,27062,very small,new,3.9,large,0
3.97,320772,23406,large,new,2.94,small,0
3.95,3150949,247606,large,new,4.03,large,0
4.0,692989,44204,large,new,2.4,small,0
3.89,155370,14092,large,new,2.96,medium,0
3.99,2257800,229480,medium,new,4.03,large,0
2.81,626,118,small,new,2.78,small,0
3.97,1666716,107826,small,new,3.92,large,0
4.26,2271354,270378,small,new,4.19,large,0
3.35,132755,6145,small,new,2.98,medium,0
4.38,148224,15520,small,new,4.38,large,0
2.89,333,67,very small,new,2.64,small,0
4.26,304410,57977,small,new,4.15,large,0
4.11,355564,34030,small,new,4.11,large,0
4.06,840349,56039,small,new,4.04,large,0
3.1,322,62,very small,new,2.9,small,0
4.23,8430713,485060,average,new,4.23,large,0
3.2,3001,592,very small,new,2.96,medium,0
3.81,111161,10667,large,new,2.96,small,0
4.1,111544,1594,large,old,4.08,large,0
4.26,330619,18605,very small,new,4.26,large,0
4.1,157283,32845,small,new,3.94,large,0
4.18,329280,18626,large,new,4.16,large,0
3.02,3437,473,large,new,2.74,small,0
4.1,696201,27513,average,new,4.12,large,0
4.23,753418,52412,medium,new,4.24,large,0
4.01,418724,30644,average,new,4.01,large,0
4.24,1843828,109688,large,new,4.17,large,0
2.99,909,215,average,new,2.65,small,0
3.24,35972,4978,medium,new,2.81,medium,0
3.9,57891,4664,average,new,2.68,small,0
4.11,3002905,213732,medium,new,4.26,large,0
3.82,219214,26575,small,new,3.84,large,0
3.81,82275,5927,average,new,2.87,small,0
2.31,5089,2760,small,new,2.35,medium,0
4.0,8873561,413746,small,new,4.16,large,0
3.93,285276,31598,small,new,3.95,large,0
3.99,4447198,273761,medium,new,4.35,large,0
4.0,1154517,87030,small,new,4.29,large,0
4.22,1206749,23221,average,new,2.95,small,0
3.89,402363,50430,small,new,3.91,large,0
4.25,3632867,64723,large,old,4.3,large,0
4.33,438018,32120,small,new,4.42,large,0
1.74,1485,367,very small,new,1.12,small,0
4.46,32199209,716319,large,new,4.62,large,0
3.99,2257914,229494,medium,new,3.95,large,0
3.8,627640,37213,small,new,3.8,large,0
4.36,84336,11212,very small,new,4.37,large,0
4.26,821917,41701,small,new,4.25,large,0
4.04,3486465,218506,large,new,3.96,large,0
4.04,420142,17368,large,old,4.07,large,0
3.97,2416345,190389,small,new,4.05,large,0
3.74,1371653,112797,average,new,3.91,large,0
4.02,597159,64345,small,new,3.77,large,0
4.37,120222,7726,small,new,4.37,large,0
4.08,105280,7695,small,new,4.08,large,0
4.1,6336786,194774,average,new,4.13,large,0
2.31,5089,2760,small,new,2.17,small,0
3.98,995568,61510,average,new,3.92,large,0
4.06,34882,5640,very small,new,4.07,large,0
3.99,596192,22570,average,old,4.03,large,0
2.97,1359,276,very small,new,2.76,small,0
2.92,4175,724,very small,new,2.94,medium,0
4.2,3166199,75140,medium,new,4.38,large,0
4.06,537347,26924,small,new,4.05,large,0
4.07,428080,47726,small,new,4.21,large,0
4.26,14551657,471013,small,new,4.3,large,0
3.24,6224,565,small,new,2.93,small,0
4.37,6423033,220099,large,new,4.44,large,0
4.2,901990,100956,small,new,4.27,large,0
4.08,227890,20556,very small,new,4.07,large,0
3.76,1586339,141424,small,new,3.89,large,0
3.43,4126,587,medium,new,2.87,medium,0
4.02,410952,48478,medium,new,4.14,large,0
2.91,445,98,very small,new,2.68,small,0
3.95,159619,13792,average,new,2.8,small,0
4.06,544179,75988,small,new,3.97,large,0
3.54,5038,690,medium,new,2.88,small,0
4.29,179087,25967,small,new,4.14,large,0
3.83,2446530,97597,large,old,3.81,large,0
3.38,631,183,small,new,2.89,small,0
3.93,342393,22451,small,new,3.96,large,0
4.08,348830,21442,medium,new,4.14,large,0
2.64,821,35,very small,old,2.64,small,0
4.17,1701537,237368,medium,new,4.24,large,0
3.59,14277,357,very small,new,2.74,small,0
3.42,9654,1377,small,new,2.68,medium,0
4.05,1273073,96788,small,new,3.88,large,0
4.03,568696,42941,medium,new,4.1,large,0
4.06,17485048,775865,large,old,4.04,large,0
4.19,707595,27905,average,new,4.2,large,0
4.04,159154,6395,small,old,4.05,large,0
3.89,920034,39783,large,old,3.89,large,0
2.99,324,58,small,new,2.93,small,0
4.07,1745267,82645,small,new,4.23,large,0
4.23,468222,24684,large,new,4.27,large,0
3.75,4424672,167742,small,new,3.84,large,0
4.0,8873706,413753,small,new,3.91,large,0
3.95,3150997,247614,large,new,4.15,large,0
3.8,33716,6210,very small,new,3.81,large,0
3.91,59531,7574,very small,new,3.91,large,0
4.09,1301868,128782,small,new,4.24,large,0
4.06,1816833,69478,small,new,4.22,large,0
4.17,1701350,237349,medium,new,4.07,large,0
4.06,624153,60559,small,new,4.14,large,0
4.5,1749722,210904,small,new,4.52,large,0
4.2,79223,5246,small,new,4.2,large,0
4.15,74261,5737,medium,new,4.13,large,0
3.8,273861,21575,small,new,3.81,large,0
4.01,3903640,172963,average,new,4.04,large,0
2.93,321,75,very small,new,2.59,small,0
4.05,960561,63189,small,new,4.01,large,0
3.41,5036,772,small,new,2.87,small,0
4.24,1240541,58077,large,new,4.27,large,0
3.07,7100,770,very small,new,2.97,medium,0
3.28,5210,269,small,new,2.81,small,0
4.35,10073413,175255,large,old,4.28,large,0
4.1,6336902,194782,average,new,4.21,large,0
3.71,152621,14196,small,new,3.71,large,0
4.0,8873634,413752,small,new,3.73,large,0
3.35,13149,1052,medium,new,2.91,small,0
4.06,4699849,273616,small,new,3.95,large,0
3.61,87855,7609,medium,new,2.96,medium,0
4.04,173174,17229,small,new,4.09,large,0
3.13,1889,255,small,new,2.72,small,0
3.81,84651,12490,very small,new,3.82,large,0
3.59,3215,554,very small,new,2.77,small,0
4.01,1539049,115897,small,new,3.9,large,0
4.12,613429,47259,medium,new,4.26,large,0
4.0,174487,9394,small,new,3.97,large,0
4.01,1668194,187984,medium,new,4.03,large,0
3.89,23768,4465,very small,new,3.89,medium,0
4.16,1422593,38143,large,old,4.21,large,0
3.76,1586324,141424,small,new,3.94,large,0
3.71,193532,19225,very small,new,3.71,large,0
4.16,4926126,186956,large,old,4.0,large,0
4.1,185334,21935,medium,new,4.06,large,0
4.0,692989,44204,large,old,2.98,medium,0
4.3,934631,63073,small,new,4.28,large,0
3.88,82226,4887,large,new,2.66,small,0
2.91,2586,435,very small,new,2.91,medium,0
4.06,867228,97459,medium,new,4.05,large,0
3.45,936,212,very small,new,2.93,small,0
4.04,394534,58005,small,new,4.02,large,0
3.69,1161168,118207,small,new,3.72,large,0
3.76,1586305,141423,small,new,3.74,large,0
3.88,434834,24629,large,old,3.9,large,0
3.15,3497,612,very small,new,2.96,medium,0
4.21,97944,7634,small,new,4.22,large,0
4.11,691348,34837,small,new,4.19,large,0
4.29,223826,26634,very small,new,4.29,large,0
3.6,56318,6966,small,new,2.96,small,0
3.61,206622,8875,average,new,3.58,large,0
3.87,2625117,58463,large,old,3.92,large,0
4.26,155660,8340,large,new,1.93,small,0
4.03,386950,5605,average,old,4.03,large,0
3.41,4269,485,small,new,2.96,small,0
4.04,2065,223,small,new,2.69,small,0
4.21,455903,57507,medium,new,4.16,large,0
4.06,17485048,775865,large,new,4.2,large,0
4.34,11197382,446246,average,new,4.32,large,0
3.26,16127,1349,small,new,3.0,medium,0
2.77,6486,1361,very small,new,2.67,medium,0
3.95,1225257,113662,medium,new,3.82,large,0
3.84,564338,31928,large,old,3.72,large,0
4.02,195216,16384,very small,new,4.04,large,0
2.84,1579,307,very small,new,2.84,medium,0
4.39,561834,42955,very small,new,4.39,large,0
3.9,183821,8218,medium,old,3.9,large,0
4.25,898235,25669,medium,old,4.26,large,0
3.25,8649,1205,very small,new,2.31,small,0
4.27,72685,14033,small,new,4.11,large,0
3.71,7637,2041,average,new,2.63,small,0
2.76,4915,474,small,new,2.65,small,0
4.2,1398021,46649,large,old,4.28,large,0
3.84,337017,11915,large,old,3.83,large,0
4.04,3486398,218504,large,new,4.2,large,0
4.17,3659317,407612,medium,new,3.95,large,0
3.68,603794,22665,small,new,3.69,large,0
3.86,7295810,154517,large,old,4.03,large,0
4.07,1522336,109106,average,new,4.03,large,0
3.75,500043,49618,small,new,3.81,large,0
3.89,3112958,158294,small,new,3.95,large,0
3.54,925141,51653,medium,new,2.81,medium,0
3.95,351927,57414,small,new,3.84,large,0
4.06,495105,18719,medium,old,4.07,large,0
4.24,533487,35125,small,new,4.29,large,0
3.99,7545443,398192,large,new,4.09,large,0
2.75,388,118,very small,new,2.74,small,0
3.76,1586352,141425,small,new,3.73,large,0
4.09,262016,14716,medium,new,4.1,large,0
4.31,3556418,296617,medium,new,4.3,large,0
3.97,81592,14407,very small,new,4.06,large,0
3.04,6922,401,medium,new,2.98,medium,0
3.99,2966069,120425,large,old,3.97,large,0
3.93,1632026,84236,average,new,2.69,medium,0
4.35,1045152,54041,very small,new,4.37,large,0
4.33,307997,29215,small,new,4.47,large,0
3.55,10406,1271,small,new,2.47,small,0
4.14,3884953,114661,large,old,4.02,large,0
3.99,922896,92982,small,new,4.0,large,0
3.87,711749,95191,very small,new,3.84,large,0
3.45,13454,1126,very small,new,2.94,medium,0
3.99,4447168,273760,medium,new,4.09,large,0
4.36,8084822,673308,medium,new,4.19,large,0
2.4,280,44,very small,new,2.4,small,0
4.04,592643,34941,average,new,4.35,large,0
3.45,9049,414,small,new,2.92,small,0
2.87,291,45,small,new,2.73,small,0
4.15,114049,16133,small,new,4.14,large,0
3.26,345,92,very small,new,2.98,small,0
4.24,9640004,874642,medium,new,3.83,large,0
1.99,1318,200,very small,new,1.99,medium,0
3.6,1799,265,small,new,2.86,small,0
3.91,338171,36287,small,new,4.07,large,0
4.02,1406700,95507,small,new,3.98,large,0
4.36,8085443,673345,medium,new,4.44,large,0
2.92,946,246,very small,new,2.92,small,0
4.14,72953,10173,very small,new,4.21,large,0
3.97,28665,1142,large,new,2.06,small,0
4.01,947188,42691,average,old,4.08,large,0
4.03,6677273,294115,medium,new,3.61,large,0
2.84,913,69,very small,new,2.77,small,0
4.21,3294312,292062,average,new,4.28,large,0
4.33,755696,94926,very small,new,4.36,large,0
4.26,463277,71959,small,new,4.34,large,0
4.08,1002434,22444,small,new,2.83,medium,0
3.96,2766957,263016,medium,new,3.98,large,0
3.69,96131,7926,small,new,2.93,medium,0
4.14,826425,67592,small,new,4.01,large,0
3.59,146222,22317,very small,new,3.54,large,0
2.85,1596,449,small,new,2.84,medium,0
4.46,32200287,716343,large,new,4.05,large,0
3.21,12335,1157,small,new,2.91,medium,0
4.24,978734,27037,large,old,4.31,large,0
3.69,337910,28672,small,new,3.61,large,0
4.23,8430727,485062,average,new,4.43,large,0
4.36,8085813,673367,medium,new,4.62,large,0
4.09,2005157,210817,small,new,4.45,large,0
3.92,864737,52719,medium,new,2.87,small,0
3.97,321494,41277,very small,new,3.82,large,0
3.04,1740,444,very small,new,2.86,medium,0
3.72,400511,63951,average,new,3.91,large,0
4.1,2957329,117291,large,new,2.8,small,0
4.11,137618,15405,small,new,4.26,large,0
2.65,6903,396,very small,new,2.59,medium,0
3.47,25240,2982,small,new,3.02,medium,0
4.03,370135,15060,large,old,4.01,large,0
3.87,642230,19827,average,new,2.85,small,0
4.1,2359676,64153,large,old,4.13,large,0
4.07,976632,48839,average,old,4.04,large,0
3.95,2764824,144704,medium,new,4.04,large,0
4.33,1222292,74056,medium,new,4.22,large,0
4.27,665937,27452,average,old,4.28,large,0
4.04,294919,17847,small,new,4.09,large,0
3.89,114174,21140,very small,new,3.95,large,0
3.95,1341078,127177,small,new,3.83,large,0
4.05,960641,63192,small,new,4.11,large,0
3.7,2349,407,medium,new,2.86,small,0
1.48,197,90,very small,new,1.48,small,0
3.84,1638024,74329,average,new,2.87,medium,0
2.83,301,70,very small,new,2.82,small,0
4.06,700061,67228,small,new,4.05,large,0
4.18,402423,21412,average,new,4.18,large,0
4.09,332431,36177,small,new,4.03,large,0
4.04,858490,67446,small,new,4.08,large,0
3.88,82226,4887,large,new,2.73,small,0
3.95,66830,1445,small,new,2.97,medium,0
4.0,1864417,180088,medium,new,3.76,large,0
2.96,1070,302,very small,new,2.81,small,0
3.56,3359,380,medium,new,2.86,small,0
2.94,677,69,very small,new,2.94,small,0
3.84,1514849,29713,large,old,3.89,large,0
4.15,300605,36931,very small,new,3.9,large,0
3.36,3021,506,very small,new,2.98,medium,0
4.37,6423152,220105,large,new,4.54,large,0
4.04,728898,85475,small,new,3.85,large,0
4.15,232406,8712,small,old,4.19,large,0
2.17,1225,191,small,old,2.08,medium,0
2.97,3120,727,very small,new,2.46,small,0
4.0,1424468,126051,small,new,4.17,large,0
4.47,72854,11358,very small,new,4.47,large,0
3.83,55250,4002,average,new,2.84,small,0
4.24,1681042,52899,large,new,2.77,small,0
2.69,538,117,very small,new,2.69,small,0
2.82,8274,1335,very small,new,2.82,medium,0
4.01,551866,34080,medium,new,3.86,large,0
4.12,319168,24471,average,new,4.19,large,0
2.48,3168,766,very small,new,2.15,medium,0
3.51,12060,1631,small,new,2.9,medium,0
3.99,2028148,52877,large,old,3.99,large,0
4.25,2834165,126811,average,new,3.98,large,0
3.52,909288,70641,small,new,3.52,large,0
4.03,534399,16185,medium,old,4.07,large,0
3.98,995586,61512,average,old,4.1,large,0
3.95,4401139,134553,large,old,3.88,large,0
3.74,4626,518,small,new,2.9,small,0
3.44,11530,2881,small,new,2.66,medium,0
4.18,704262,59403,very small,new,4.18,large,0
3.86,1099174,66047,large,old,3.79,large,0
4.27,3847785,430295,small,new,4.08,large,0
3.67,1089,359,small,new,2.73,small,0
3.82,158359,15904,large,new,2.86,small,0
4.34,217502,20333,small,new,4.51,large,0
3.03,1532,146,small,new,2.69,small,0
4.36,8085813,673367,medium,new,4.46,large,0
4.26,123789,13655,very small,new,4.26,large,0
3.52,6178,1005,small,new,2.94,medium,0
2.89,2611,837,small,new,2.72,small,0
4.33,1015537,93204,average,new,4.33,large,0
3.93,189155,17540,very small,new,3.95,large,0
3.86,673573,32752,large,old,3.82,large,0
3.83,2002,367,very small,new,2.68,small,0
4.09,2005237,210828,small,new,4.17,large,0
