Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres
Besos entre líneas,May R. Ayamonte,2.48,"3,168",766,9,2016,2.15,2183,"Young Adult,Romance,Contemporary,Romance"
Birth Control Is Sinful in the Christian Marriages and Also Robbing God of Priesthood Children!!,Eliyzabeth Yanne Strong-Anderson,1.86,273,95,1,2007,1.86,273,"Religion,Nonfiction"
A Parent's Guide to Preventing Homosexuality,Joseph Nicolosi,2.06,"1,088",351,10,2002,1.74,709,"Parenting,Psychology,Horror,Sexuality,Nonfiction,Unfinished,Reference"
Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,2.47,780,205,25,2000,1.86,565,"Psychology,Fiction,Social Issues"
Dianetics: The Modern Science of Mental Health,L. Ron Hubbard,3.46,"67,355","5,817",684,2002,2.42,3206,"Religion,Nonfiction,Philosophy,Psychology,Self Help,Science,Religion,Spirituality,Audiobook,Reference"
Scientology: The Fundamentals of Thought,L. Ron Hubbard,3.46,"67,355","5,817",684,1998,2.54,939,"Religion,Philosophy,Nonfiction,Spirituality,Psychology,Religion,Religion,Self Help,Horror,Science"
"Handbook for Mortals (Handbook for Mortals, #1)",Lani Sarem,1.3,915,389,1,2017,1.3,915,"Fantasy,Young Adult,Romance,Fiction,Fantasy,New Adult,Unfinished,Fantasy,Mystery,Contemporary"
Authors vs. Goodreads,Zoe Desh,1.53,290,202,1,2014,1.53,290,"Nonfiction,Humor"
Confessions of an Heiress: A Tongue-In-Chic Peek Behind the Pose,Paris Hilton,3.04,"1,870",176,9,2006,2.99,1699,"Nonfiction,Autobiography,Biography,Biography,Womens Fiction,Biography Memoir,Couture,Media Tie In"
Women Who Work: Rewriting the Rules for Success,Ivanka Trump,3.15,"1,936",332,5,2017,2.88,967,"Nonfiction,Business,Self Help,Biography,Autobiography,Feminism,Biography,Gender,Leadership,Biography Memoir"
Behind the Bell,Dustin Diamond,2.34,724,155,2,2009,2.34,723,"Nonfiction,Biography,Autobiography,Biography,Adult,Culture,Biography Memoir,Media Tie In,History"
"Revealing Eden (Save the Pearls, #1)",Victoria Foyt,2.14,"1,120",436,7,2012,2.04,942,"Young Adult,Science Fiction,Science Fiction,Fantasy,Romance,Fiction,Apocalyptic,Young Adult,Science Fiction,Love"
Trigger Warning,William W. Johnstone,4.26,"155,660","8,340",551,2018,1.93,533,"Fiction,Thriller"
Reaper's Creek,Onision,1.74,"1,485",367,7,2018,1.12,306,"Fiction,Young Adult,Fantasy"
The Bible Code,Michael Drosnin,3.02,"2,910",236,6,1998,2.86,2005,"Nonfiction,Religion,Christian,History,Spirituality,Philosophy,Religion,Pseudoscience,Fantasy,Occult"
Star,Pamela Anderson,2.92,"1,770",202,18,2005,2.87,1275,"Fiction,Womens Fiction,Romance,Adult,Sexuality,Culture,Literature"
Pride and Promiscuity: The Lost Sex Scenes of Jane Austen,Arielle Eckstut,3.83,"2,002",367,8,2001,2.68,460,"Fiction,Humor,Romance,Historical,Adult Fiction,Short Stories,Historical,Retellings,Womens Fiction,Sexuality"
Uninvited,Amanda Marrone,3.45,"13,454","1,126",8,2007,2.94,4247,"Paranormal,Young Adult,Fantasy,Fantasy,Romance,Fantasy,Young Adult,Horror,Fiction,Romance"
"The Weight Loss Cure """"They"""" Don't Want You to Know About",Kevin Trudeau,3.22,"3,639",606,33,2007,2.93,347,"Health,Self Help,Nonfiction"
"Maradonia and the Seven Bridges (Maradonia Series, #1)",Gloria Tesch,2.36,268,77,6,2008,1.9,112,"Fantasy,Childrens,Young Adult,Fiction,Adventure"
Pygmy,Chuck Palahniuk,3.84,"1,638,019","74,329",149,2009,2.97,28078,"Fiction,Contemporary,Humor,Novels,Literature,Literature,Suspense,Unfinished,Adult Fiction,Humor"
The Mask of Gold,Alan A. McLean,1.99,"1,318",200,5,2001,1.99,1316,"Novels,Academic,Mystery,Literature,Fiction,Adventure,Short Stories,Academic"
"Barry Trotter and the Unauthorized Parody (Barry Trotter, #1)",Michael Gerber,2.9,"4,224",349,30,2001,2.82,2388,"Fantasy,Humor,Fiction,Humor,Young Adult,Fantasy,Novels,Childrens,European Literature,Anthologies"
Leaving Isn't the Hardest Thing,Lauren  Hough,3.27,"8,713","1,592",1,2021,3.27,8713,"Autobiography,Nonfiction,Writing,LGBT,LGBT,Audiobook,Religion,Biography,Feminism,Religion"
The Kid,Sapphire,3.84,"63,748","7,883",16,2011,2.69,2435,"Fiction,Contemporary,Novels,Adult,Adult Fiction,Cultural,Audiobook,Young Adult,Literature,Dark"
Wild Animus,Rich Shapero,2.39,"3,234","1,117",10,2004,1.91,846,"Fiction,Fantasy,Novels,Adult Fiction,Nature,Audiobook"
The Eye of Argon,Jim Theis,2.68,573,231,2,2000,2.68,573,"Fantasy,Fiction,Humor,Classics,Science Fiction,Short Stories,Heroic Fantasy,Pulp,Horror,Humor"
Stones To Abbigale,Onision,1.74,"1,485",367,7,2015,1.94,684,"Fiction,Contemporary,Young Adult,Drama,Romance"
Empress Theresa,Norman Boutin,1.48,197,90,1,2014,1.48,197,"Fiction,Science Fiction,Fantasy"
Kissing the Coronavirus (Kissing the Coronavirus #1),M.J.    Edwards,2.31,"5,089","2,760",12,2020,2.35,2997,"Romance,Adult Fiction,Short Stories,Adult,Fiction,Humor,Science Fiction,Fantasy,Humor,Contemporary"
Actors Anonymous,James Franco,3.19,"19,691","2,824",45,2013,2.58,1964,"Fiction,Short Stories,Contemporary,Adult,Literature,Audiobook,Humor,Unfinished,Novels,American"
The Almost Moon,Alice Sebold,3.82,"2,371,981","54,762",14,2007,2.7,37000,"Fiction,Contemporary,Adult Fiction,Drama,Adult,Novels,Audiobook,Family,Unfinished,Literary Fiction"
"Revenge Wears Prada: The Devil Returns (The Devil Wears Prada, #2)",Lauren Weisberger,3.69,"1,191,521","29,486",25,2013,2.97,35722,"Womens Fiction,Fiction,Romance,Contemporary,Audiobook,Adult,Couture,Adult Fiction,Novels,Humor"
Four Blondes,Candace Bushnell,3.37,"234,967","12,462",33,2001,2.84,25382,"Womens Fiction,Fiction,Romance,Contemporary,Adult Fiction,New York,Short Stories,Humor,Novels,Adult"
To Train Up a Child,Michael Pearl,3.43,"4,126",587,66,1994,2.87,1797,"Parenting,Christian,Nonfiction,Family,Self Help,Religion,Christian,Childrens,Spirituality,Psychology"
Adam,Ariel Schrag,3.42,"9,654","1,377",13,2014,2.68,2588,"Fiction,LGBT,Young Adult,LGBT,Contemporary,LGBT,Romance,Young Adult,New York,Adult Fiction"
Holy Terror,Frank Miller,4.13,"820,018","23,429",806,2011,1.98,994,"Sequential Art,Sequential Art,Comics,Fiction,Comics,War,Graphic Novels Comics,Politics,Dc Comics,Mystery"
This Is Why I Hate You,Onision,1.74,"1,485",367,7,2015,1.84,485,"Fiction,Drama,Contemporary"
Return to the Secret Garden,Susan Moody,3.36,"1,770",249,53,1998,2.7,251,"Fiction,Historical,Historical"
Pemberley: Or Pride and Prejudice Continued,Emma Tennant,2.76,"3,648",642,59,2006,2.49,1399,"Fiction,Historical,Romance,Historical,Classics,European Literature,Historical,Adult Fiction,Womens Fiction,Contemporary"
"After Dead: What Came Next in the World of Sookie Stackhouse (Sookie Stackhouse, #13.5)",Charlaine Harris,3.94,"3,519,866","139,555",197,2013,3.01,15654,"Fantasy,Fantasy,Paranormal,Fantasy,Fiction,Fantasy,Romance,Romance,Mystery,Short Stories"
"I Want to Tell You: My Response to Your Letters, Your Messages, Your Questions",O.J. Simpson,3.25,"8,649","1,205",10,1995,2.31,252,"Nonfiction,Crime,Biography,Autobiography,Biography"
"Quinn (Undaunted Men, #1)",J.C. Cliff,3.9,"8,567","1,425",12,2016,2.8,734,"Romance,War,Suspense,Romance,Contemporary,Romance,New Adult,Romance,Adult Fiction,Adult"
Pamela,Samuel Richardson,3.05,"20,869","1,573",328,2001,2.78,11742,"Classics,Fiction,Literature,Romance,Literature,European Literature,Novels,Academic,Literature,Historical"
Confessions of a Sociopathic Social Climber: The Katya Livingston Chronicles,Adèle Lang,3.59,"14,277",357,6,2003,2.74,788,"Womens Fiction,Fiction,Humor,Adult,European Literature,Adult Fiction"
"Suicide Ride: The Platinum Man (Suicide Ride, #1)",E. Llewellyn,2.89,340,137,2,2013,2.81,227,"Romance,Business,Contemporary"
The Clansman,Thomas Dixon Jr.,2.92,496,132,43,1970,2.63,298,"Fiction,Historical,Classics,Military History,Race,Literature,Novels,War,Media Tie In,Adult Fiction"
The Chemistry of Tears,Peter Carey,3.61,"87,855","7,609",77,2012,2.96,3995,"Fiction,Historical,Contemporary,Literary Fiction,Cultural,Novels,Audiobook,Historical,European Literature,Literature"
"The Kingdoms and the Elves of the Reaches (Keeper Martin's Tales, #1)",Robert Stanek,3.02,"3,437",473,308,2002,2.74,336,"Fantasy,Fiction,Young Adult,Fantasy,Fantasy"
Michelle Remembers,Michelle Smith,2.99,909,215,120,1989,2.65,625,"Nonfiction,Horror,Crime,Biography,Autobiography,Psychology,Religion,Health,Cultural,Occult"
Malled: My Unintentional Career in Retail,Caitlin Kelly,3.71,"7,637","2,041",128,2011,2.63,663,"Nonfiction,Autobiography,Business,Biography Memoir,Biography,Adult,Humor,Social Science,Cultural,Unfinished"
Her,Harriet Lane,3.08,"15,629","2,648",6,2015,2.82,10088,"Fiction,Thriller,Mystery,Suspense,Contemporary,Thriller,Thriller,Adult,Adult Fiction,Novels"
Seduction of the Innocent: The Influence of Comic Books on Today's Youth,Fredric Wertham,3.18,304,64,15,2004,2.54,146,"Nonfiction,Sequential Art,Psychology,Sociology,History,Criticism,Culture,Culture,Cultural,Sequential Art"
Batman: Fortunate Son,Gerard Jones,3.97,"28,665","1,142",403,1999,2.06,227,"Sequential Art,Dc Comics,Sequential Art,Superheroes,Graphic Novels Comics,Comics,Fiction,Comics"
American Nerd: The Story of My People,Benjamin Nugent,3.15,"3,497",612,6,2008,2.96,1444,"Nonfiction,Autobiography,Sociology,Culture,Biography,Cultural,History,Humor,Psychology,Writing"
The Widows of Eastwick (Eastwick #2),John Updike,3.8,"307,058","20,816",386,2008,2.96,2110,"Fiction,Fantasy,Literary Fiction,Paranormal,Literature,Novels,Contemporary,Classics,Audiobook,Fantasy"
Pride and Prejudice and Mistletoe,Melissa de la Cruz,3.79,"719,526","44,486",125,2017,2.63,6131,"Romance,Holiday,Fiction,Contemporary,Holiday,Retellings,Womens Fiction,Adult,Romance,Adult Fiction"
Irene Iddesleigh,Amanda McKittrick Ros,2.19,227,53,11,1897,2.05,188,"Fiction,Classics,Humor,Historical,Romance"
iDrakula,Bekka Black,3.0,912,282,2,2010,2.94,868,"Young Adult,Paranormal,Fantasy,Horror,Fantasy,Young Adult,Romance,Classics,Fiction,Fantasy"
"Pride/Prejudice: A Novel of Mr. Darcy, Elizabeth Bennet, and Their Forbidden Lovers",Ann Herendeen,2.85,457,132,15,2010,2.56,202,"Fiction,Romance,Adult Fiction,Historical,Historical,Adult Fiction,LGBT,Retellings,LGBT,Romance"
"Murder on the Eiffel Tower (Victor Legris, #1)",Claude Izner,3.09,"4,015",651,49,2008,2.93,1808,"Mystery,Historical,Cultural,Mystery,Fiction,Mystery,Historical,Thriller,Thriller,Mystery"
Him Her Him Again the End of Him,Patricia Marx,3.1,"5,563","1,303",32,2007,2.84,1883,"Fiction,Humor,Womens Fiction,Adult Fiction,Relationships,Audiobook,Humor,Contemporary,Novels,Romance"
The Resurrectionist,James  Bradley,3.33,"6,192","1,073",30,2008,2.79,1751,"Historical,Fiction,Historical,Horror,Gothic,Mystery,Thriller,Cultural,Mystery,Literature"
Wentworth Hall,Abby Grahame,2.88,"1,363",299,1,2012,2.88,1363,"Historical,Young Adult,Historical,Romance,Fiction,European Literature,Mystery,Young Adult,Family,Womens Fiction"
Passenger to Frankfurt,Agatha Christie,4.02,"5,724,161","337,897","3,345",2003,2.88,11526,"Mystery,Fiction,Mystery,Classics,Thriller,Mystery,Thriller,European Literature,Suspense,Novels"
Feuchtgebiete,Charlotte Roche,2.84,"11,985","1,328",8,2008,2.84,9930,"Fiction,Contemporary,European Literature,Feminism,Cultural,Roman,Adult Fiction,Novels,Sexuality,Adult"
Confessions of a Counterfeit Farm Girl: A Memoir,Susan McCorkindale,2.9,"1,506",367,5,2008,2.78,1256,"Nonfiction,Autobiography,Humor,Womens Fiction,Biography,Biography,Biography Memoir,Family,Unfinished,Animals"
The Spiders,D'Arcy Adrian-Vallance,2.17,"1,225",191,15,0,2.08,1160,"Novels,Academic,Short Stories,Literature,Fiction,Science Fiction,Academic,Mystery,Adventure"
Adèle,Emma Tennant,2.76,"3,648",642,59,2002,2.27,254,"Historical,Fiction,Retellings,Historical,European Literature,Historical,Classics,Own"
Knots,Nuruddin Farah,3.41,"5,036",772,25,2007,3.0,271,"Cultural,Fiction,Eastern Africa,Contemporary,Novels,Literature,Feminism,Cultural,Literature"
Neil Gaiman's Lady Justice: Vol. 1,C.J. Henderson,3.69,"7,087",905,216,2015,2.65,330,"Sequential Art,Sequential Art,Fiction,Fantasy,Graphic Novels Comics,Comics,Comics,Fantasy,Graphic Novels Manga,Adult"
Lair of the White Worm,Bram Stoker,4.0,"1,200,560","43,083","1,456",2002,2.8,3830,"Horror,Classics,Fiction,Gothic,Fantasy,Novels,Literature,Literature,Mystery,Fantasy"
List of the Lost,Morrissey,3.54,"13,828","1,451",27,2015,2.31,886,"Fiction,Music,Literature,Literary Fiction,European Literature,Contemporary,Novels,Philosophy,Modern,The United States Of America"
برهان العسل,سلوى النعيمي,2.4,"1,548",346,7,2009,2.64,2379,"Fiction,Adult Fiction,Novels,Literature,Sexuality,Feminism,Romance,Literature,Adult,Cultural"
My Empire of Dirt: How One Man Turned His Big-City Backyard Into a Farm,Manny Howard,2.79,419,121,2,2010,2.79,419,"Nonfiction,Horticulture,Autobiography,Food and Drink,Biography,Biography,Science"
Look Both Ways,Alison Cherry,3.59,"5,217","1,142",9,2016,2.92,859,"LGBT,Young Adult,Contemporary,Romance,LGBT,Realistic Fiction,Fiction,LGBT,LGBT,Young Adult"
Wish Club: A Novel,Kim Strickland,3.1,322,62,3,2007,2.9,252,"Womens Fiction,Fiction,Fantasy,Book Club,Fantasy"
You Don't Love Me Yet,Jonathan Lethem,3.85,"362,716","38,125",200,2007,2.83,4454,"Fiction,Music,Novels,Contemporary,Literature,Romance,Literary Fiction,Literature,The United States Of America,Audiobook"
Deer in the Headlights: My Life in Sarah Palin's Crosshairs,Levi Johnston,2.82,168,31,1,2011,2.82,168,"Nonfiction,Autobiography,Biography,Biography,Biography Memoir"
The Sunshine When She's Gone,Thea Goodman,2.8,891,162,1,2013,2.8,891,"Fiction,Contemporary,Adult Fiction,Adult,Book Club,Womens Fiction,Family"
Son of Rosemary,Ira Levin,3.96,"234,324","13,090",55,1998,2.54,3947,"Horror,Fiction,Mystery,Thriller,Fantasy,Fantasy,Fantasy,Classics,Suspense,Adult"
The Twins of Tribeca,Rachel Pine,2.89,559,66,1,2006,2.89,559,"Womens Fiction,Fiction,Adult Fiction,Literature"
The Thomas Berryman Number,James Patterson,3.99,"7,545,068","398,167","1,046",1996,2.83,5634,"Mystery,Fiction,Thriller,Mystery,Suspense,Thriller,Audiobook,Action,Adult,Adult Fiction"
The Emperor's Children,Claire Messud,3.22,"70,422","9,251",35,2006,2.97,20497,"Fiction,Contemporary,Novels,Literary Fiction,New York,Book Club,Literature,Literature,Adult Fiction,Unfinished"
Quattrocento,Susana Fortes,3.23,"2,277",292,14,2009,2.78,682,"Historical,Historical,Fiction,Thriller,Cultural,Mystery,Art,Romance,Mystery,Romance"
Boys of Blood & Bone,David Metzenthen,3.26,"1,098",195,49,2004,2.63,319,"War,Historical,Academic,Young Adult"
The Way I See It: A Look Back at My Life on Little House,Melissa Sue Anderson,2.74,"1,314",309,7,2010,2.77,1590,"Biography,Autobiography,Nonfiction,Biography,Biography Memoir,Adult,Media Tie In,Unfinished,Audiobook"
The Different Girl,Gordon Dahlquist,3.51,"12,060","1,631",17,2013,2.9,1596,"Young Adult,Science Fiction,Science Fiction,Young Adult,Fantasy,Fiction,Mystery,Science Fiction,Futuristic,Adventure"
The White Man's Burden,Rudyard Kipling,3.91,"411,286","18,971","2,968",1899,2.16,190,"Poetry,Classics,Academic,Historical,History,Nonfiction,Historical,Adult,Race,Academic"
A Wonderful Stroke of Luck,Ann Beattie,3.62,"17,032","1,994",108,2019,2.45,429,"Fiction,School Stories,Unfinished,Novels"
The Silence,Don DeLillo,3.65,"263,175","21,930",71,2020,2.68,10634,"Fiction,Science Fiction,Science Fiction,Contemporary,Novella,Audiobook,Literary Fiction,Novels,Literature,Literature"
Rainbow Party,Paul Ruditis,4.01,"14,485","1,033",114,2005,2.61,405,"Young Adult,Young Adult,Fiction,Sexuality,Realistic Fiction,Childrens,Literature,Romance,Womens Fiction"
Sweet Valley Confidential: Ten Years Later,Francine Pascal,3.57,"269,537","11,843",811,2011,2.5,7254,"Womens Fiction,Young Adult,Fiction,Adult Fiction,Contemporary,Audiobook,Romance,Novels,Unfinished,Young Adult"
Nothing,Annie Barrows,4.17,"778,368","66,217",44,2017,2.92,799,"Young Adult,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Humor,Young Adult,Romance"
One Night at the Call Center,Chetan Bhagat,3.21,"510,177","20,055",26,2007,2.52,58056,"Fiction,Asian Literature,Cultural,Romance,Contemporary,Novels,Drama,Young Adult,Humor,Fantasy"
"Here's the Situation: A Guide to Creeping on Chicks, Avoiding Grenades, and Getting in Your GTL on the Jersey Shore","Mike ""The Situation"" Sorrentino",2.53,110,31,2,2010,2.52,108,"Nonfiction,Humor"
The Naked Truth: The Real Story Behind the Real Housewife of New Jersey--In Her Own Words,Danielle Staub,2.4,280,44,1,2010,2.4,280,"Biography,Autobiography,Nonfiction,Biography Memoir,Biography"
"I Want to Be Organized: How to De-Clutter, Manage Your Time and Get Things Done",Harriet Griffey,3.46,"1,246",156,55,2016,2.78,176,"Nonfiction,Self Help,Productivity"
Kind of a Big Deal,Shannon Hale,3.98,"738,735","76,982",90,2020,2.83,3339,"Young Adult,Fantasy,Contemporary,Fiction,Romance,Magical Realism,Young Adult,Audiobook,Young Adult,Young Adult"
An Arsonist's Guide to Writers' Homes in New England,Brock Clarke,3.06,"8,687","1,904",15,2007,2.96,6264,"Fiction,Mystery,Humor,Novels,Writing,Contemporary,Unfinished,Literature,Literary Fiction,Adult Fiction"
The Dressmaker,Elizabeth Oberbeck,2.86,716,143,1,2007,2.9,883,"Fiction,Romance,Historical,Womens Fiction,Couture,Cultural,Adult,Adult Fiction,Book Club"
There Is No Dog,Meg Rosoff,3.5,"74,051","9,711",34,2011,2.94,2916,"Young Adult,Fantasy,Fiction,Humor,Religion,Young Adult,Romance,Contemporary,Magical Realism,Fantasy"
The Second Wave (Kissing the Coronavirus #2),M.J.    Edwards,2.31,"5,089","2,760",12,2020,2.17,848,"Adult Fiction,Romance,Adult,Science Fiction,Novella,Fiction,Humor,Humor,Short Stories,Contemporary"
"Cleaving: A Story of Marriage, Meat, and Obsession",Julie Powell,3.68,"163,102","9,403",5,2009,2.46,4463,"Autobiography,Nonfiction,Food and Drink,Biography,Food and Drink,Food and Drink,Adult,Food and Drink,Audiobook,Marriage"
Healing Homosexuality: Case Stories of Reparative Therapy,Joseph Nicolosi,2.06,"1,088",351,10,1997,2.42,139,Psychology
Panic in a Suitcase,Yelena Akhtiorskaya,2.81,"1,129",228,3,2014,2.77,1106,"Fiction,Historical,Cultural,Literary Fiction,Contemporary,New York,Family,Cultural,Novels,Adult Fiction"
Superman: True Brit,Kim Howard Johnson,3.78,"3,729",374,14,2006,2.79,513,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Humor,Comics,Comics,Fiction,Graphic Novels Comics,Science Fiction"
Impossible Views of the World,Lucy Ives,3.1,"1,931",427,19,2017,2.63,860,"Fiction,Mystery,Contemporary,Literary Fiction,Art,Adult Fiction,Adult,Audiobook,New York,Novels"
The Revolution of Jack Frost,K.M. Robinson,3.67,"1,089",359,40,2018,2.73,120,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Retellings,Young Adult"
"The Betrothed (The Betrothed, #1)",Kiera Cass,3.99,"3,603,560","223,833",33,2020,3.02,34410,"Romance,Young Adult,Fantasy,Fiction,Audiobook,Historical,Young Adult,Historical,Science Fiction,Young Adult"
After the Race,James Joyce,3.75,"475,813","27,859",838,1914,2.91,217,"Short Stories,Classics,Fiction,European Literature,Literature,Cultural,Literature,Cultural"
Pumpkin Farmer,Michael  Hughes,2.5,788,494,4,2015,2.52,573,"Thriller,Fiction,Thriller"
Three Quarters Dead,Richard Peck,3.94,"107,154","11,781",81,2010,2.84,823,"Young Adult,Fantasy,Fantasy,Horror,Fantasy,Young Adult,Fiction,Young Adult,Paranormal,Mystery"
Fat Vampire: A Never Coming of Age Story,Adam Rex,3.97,"66,499","12,248",70,2010,2.85,2916,"Young Adult,Paranormal,Fantasy,Humor,Fantasy,Fiction,Young Adult,Fantasy,Horror,Fantasy"
Alentejo Blue,Monica Ali,3.69,"96,131","7,926",15,2006,2.74,1172,"Fiction,Cultural,Short Stories,Contemporary,Literary Fiction,Novels,Adolescence,Travel,Female Authors,Cultural"
Bodies,Si Spencer,3.56,"3,359",380,88,2015,2.86,623,"Sequential Art,Sequential Art,Mystery,Horror,Fiction,Historical,Graphic Novels Comics,Fantasy,Science Fiction,Comics"
Ronit & Jamil,Pamela L. Laskin,2.85,"1,596",449,13,2017,2.84,1525,"Poetry,Young Adult,Romance,Contemporary,Retellings,Fiction,Young Adult,Realistic Fiction,Audiobook,Cultural"
The Fig Eater,Jody Shields,2.92,"4,175",724,6,2001,2.94,3117,"Fiction,Historical,Mystery,Historical,Mystery,Book Club,Thriller,Literary Fiction,Thriller,Womens"
Doctor Who: The Bog Warrior,Cecelia Ahern,3.92,"864,737","52,719",74,2014,2.87,140,"Media Tie In,Science Fiction,Fantasy,Romance,Short Stories"
How Did It Begin?: The Origin of Our Curious Customs and Superstitions,Rudolph Brasch,2.99,324,58,22,2011,2.93,286,"History,Nonfiction,Reference,Folklore,Science,Religion,Cultural"
A Christmas Tree,Charles Dickens,3.91,"3,609,346","121,924","5,782",1986,2.93,617,"Holiday,Classics,Short Stories,Fiction,Historical,Audiobook,Classics,Holiday,European Literature,Literature"
Killing Time,Caleb Carr,4.0,"246,815","13,204",25,2002,2.8,3423,"Fiction,Science Fiction,Mystery,Thriller,Fantasy,Science Fiction Fantasy,Science Fiction,Historical,Science Fiction,Adventure"
Ghosts Know,Ramsey Campbell,3.97,"154,690","11,217",735,2011,2.8,257,"Horror,Mystery,Fiction,Thriller"
Gnostic Mystery,Randy Davila,3.2,424,257,6,2009,2.92,336,"Fiction,Mystery,Religion,Spirituality,Philosophy,Historical,Christian Fiction,Historical,Novels,Adult Fiction"
Beautiful Children,Charles Bock,3.08,"3,979",850,7,2008,2.9,1960,"Fiction,Novels,Adult Fiction,Contemporary,Literary Fiction,Adult,Unfinished,Dark,Family,Book Club"
Academy X,Andrew S. Trees,3.31,891,150,13,2007,2.69,298,"Fiction,Young Adult,Adult,Young Adult,Novels,Academic,Young Adult,New York"
"Green Arrow, Volume 2: Triple Threat",Ann Nocenti,3.6,"22,537","2,574",440,2013,2.7,957,"Sequential Art,Sequential Art,Superheroes,Comics,Graphic Novels Comics,Comics,Fiction,Science Fiction"
Socialite Evenings,Shobhaa Dé,2.76,"4,915",474,36,2007,2.6,334,"Fiction,Womens Fiction,Cultural,Asian Literature"
The Worst Noel: Hellish Holiday Tales,Cynthia Kaplan,3.45,"3,541",309,4,2005,2.7,335,"Holiday,Humor,Short Stories,Fiction,Anthologies,Holiday,Writing"
